RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
63,41361.40000000000,0.09998050000,34.69900000000,85546.80000000000,200714.00000000000,634,3753.47000000000,18.68000000000,9.90070000000,3456,37973.1075936
64,41346.80000000000,0.09994530000,95.39680000000,85546.50000000000,200713.00000000000,638,3585.78000000000,18.79790000000,9.45838000000,3457,37974.1075936
65,41372.60000000000,0.10000800000,59.02970000000,85538.10000000000,200687.00000000000,608,3565.49000000000,17.91400000000,9.40487000000,3458,37975.1075936
66,41377.40000000000,0.10001900000,13.80350000000,85546.50000000000,200688.00000000000,690,3801.78000000000,20.33000000000,10.02810000000,3459,37976.1075936
67,41367.60000000000,0.09999550000,53.31940000000,85535.70000000000,200695.00000000000,616,3773.09000000000,18.14970000000,9.95248000000,3460,37977.1075936
68,41356.60000000000,0.09996910000,115.57300000000,85546.00000000000,200694.00000000000,735,3662.71000000000,21.65590000000,9.66131000000,3461,37978.1075936
69,41350.20000000000,0.09995350000,63.81190000000,85535.90000000000,200679.00000000000,611,3829.14000000000,18.00240000000,10.10030000000,3462,37979.1075936
70,41304.60000000000,0.09984330000,4.71915000000,85550.50000000000,200719.00000000000,689,3684.64000000000,20.30050000000,9.71916000000,3463,37980.1075936
71,41367.50000000000,0.09999520000,142.47700000000,85546.50000000000,200685.00000000000,697,3655.14000000000,20.53620000000,9.64135000000,3464,37981.1075936
72,41376.90000000000,0.10001800000,35.60010000000,85540.90000000000,200694.00000000000,621,3701.74000000000,18.29700000000,9.76425000000,3465,37982.1075936
73,41388.30000000000,0.10004600000,17.67980000000,85542.40000000000,200705.00000000000,655,3646.41000000000,19.29880000000,9.61832000000,3466,37983.1075936
74,41352.00000000000,0.09995780000,78.53280000000,85545.80000000000,200698.00000000000,628,3759.23000000000,18.50320000000,9.91590000000,3467,37984.1075936
75,41373.10000000000,0.10000900000,99.46560000000,85541.90000000000,200679.00000000000,690,3967.77000000000,20.33000000000,10.46600000000,3468,37985.1075936
76,41362.60000000000,0.09998350000,149.59100000000,85549.90000000000,200690.00000000000,687,3715.27000000000,20.24160000000,9.79995000000,3469,37986.1075936
77,41308.80000000000,0.09985350000,7.96842000000,85549.90000000000,200702.00000000000,667,3802.04000000000,19.65230000000,10.02880000000,3470,37987.1075936
78,41328.60000000000,0.09990130000,116.11600000000,85532.30000000000,200677.00000000000,707,3705.62000000000,20.83090000000,9.77450000000,3471,37988.1075936
79,41588.20000000000,0.10052900000,21.51330000000,85543.30000000000,200719.00000000000,696,3669.20000000000,20.50680000000,9.67844000000,3472,37989.1075936
80,41325.90000000000,0.09989470000,19.01890000000,85540.00000000000,200710.00000000000,681,3937.81000000000,20.06480000000,10.38700000000,3473,37990.1075936
81,41459.50000000000,0.10021800000,140.28900000000,85535.80000000000,200690.00000000000,711,3854.25000000000,20.94870000000,10.16650000000,3474,37991.1075936
82,41344.70000000000,0.09994030000,39.28790000000,85550.30000000000,200719.00000000000,652,3501.97000000000,19.21040000000,9.23732000000,3475,37992.1075936
83,41371.00000000000,0.10000400000,133.85900000000,85541.10000000000,200692.00000000000,739,3868.57000000000,21.77370000000,10.20430000000,3476,37993.1075936
84,41367.10000000000,0.09999420000,48.72750000000,85541.40000000000,200683.00000000000,670,3773.09000000000,19.74070000000,9.95246000000,3477,37994.1075936
85,41361.80000000000,0.09998160000,126.77100000000,85536.60000000000,200692.00000000000,696,3659.79000000000,20.50680000000,9.65361000000,3478,37995.1075936
86,41404.50000000000,0.10008500000,7.31852000000,85548.30000000000,200684.00000000000,681,3758.75000000000,20.06480000000,9.91465000000,3479,37996.1075936
87,41376.90000000000,0.10001800000,25.24120000000,85534.10000000000,200705.00000000000,687,3785.85000000000,20.24160000000,9.98612000000,3480,37997.1075936
88,41377.80000000000,0.10002000000,33.47890000000,85544.50000000000,200720.00000000000,676,3777.45000000000,19.91750000000,9.96397000000,3481,37998.1075936
89,41351.80000000000,0.09995730000,34.00610000000,85532.70000000000,200712.00000000000,693,3933.59000000000,20.41840000000,10.37580000000,3482,37999.1075936
90,41383.60000000000,0.10003400000,153.25200000000,85538.90000000000,200710.00000000000,708,3675.66000000000,20.86030000000,9.69546000000,3483,38000.1075936
91,41322.30000000000,0.09988590000,24.32570000000,85537.80000000000,200720.00000000000,643,3771.42000000000,18.94520000000,9.94807000000,3484,38001.1075936
92,41365.80000000000,0.09999130000,57.67970000000,85537.40000000000,200674.00000000000,593,3681.42000000000,17.47200000000,9.71067000000,3485,38002.1075936
93,41384.10000000000,0.10003600000,11.28670000000,85543.90000000000,200703.00000000000,658,3648.68000000000,19.38720000000,9.62430000000,3486,38003.1075936
94,41361.90000000000,0.09998170000,128.94800000000,85546.20000000000,200710.00000000000,691,3711.88000000000,20.35950000000,9.79100000000,3487,38004.1075936
95,41303.30000000000,0.09984020000,0.25151700000,85533.20000000000,200690.00000000000,733,3914.13000000000,21.59690000000,10.32450000000,3488,38005.1075936
96,41330.70000000000,0.09990650000,109.96500000000,85532.70000000000,200707.00000000000,701,3855.65000000000,20.65410000000,10.17020000000,3489,38006.1075936
97,41324.30000000000,0.09989090000,39.33480000000,85549.80000000000,200680.00000000000,650,3739.74000000000,19.15140000000,9.86449000000,3490,38007.1075936
