OBJECTID,RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P
303.0,303.0,504.2,0.1,90.0,120294.0,188568.0,87.0,40.3,19.4,13.2
304.0,304.0,480.1,0.1,38.0,120292.0,188556.0,68.0,34.5,15.1,11.3
305.0,305.0,499.1,0.1,31.0,120291.0,188568.0,72.0,26.6,16.0,8.7
306.0,306.0,488.7,0.1,47.0,120287.0,188547.0,55.0,33.2,12.2,10.9
307.0,307.0,519.7,0.1,167.0,120299.0,188561.0,69.0,29.8,15.4,9.8
308.0,308.0,482.4,0.1,85.0,120288.0,188568.0,73.0,35.3,16.3,11.6
309.0,309.0,477.1,0.1,22.0,120285.0,188520.0,48.0,14.4,10.7,4.7
310.0,310.0,508.6,0.1,43.0,120292.0,188524.0,60.0,23.3,13.4,7.6
311.0,311.0,480.2,0.1,51.0,120297.0,188547.0,43.0,23.4,9.6,7.7
312.0,312.0,501.9,0.1,179.0,120286.0,188549.0,60.0,26.3,13.4,8.6
313.0,313.0,450.2,0.1,154.0,120290.0,188539.0,79.0,29.3,17.6,9.6
314.0,314.0,492.7,0.1,22.0,120296.0,188525.0,82.0,24.1,18.3,7.9
315.0,315.0,487.5,0.1,97.0,120284.0,188540.0,50.0,24.4,11.1,8.0
316.0,316.0,471.1,0.1,113.0,120282.0,188566.0,81.0,29.2,18.0,9.5
317.0,317.0,501.1,0.1,137.0,120283.0,188557.0,66.0,32.5,14.7,10.6
318.0,318.0,486.2,0.1,90.0,120297.0,188523.0,54.0,18.3,12.0,6.0
319.0,319.0,529.2,0.1,64.0,120297.0,188546.0,56.0,20.1,12.5,6.6
320.0,320.0,472.1,0.1,165.0,120292.0,188521.0,61.0,22.7,13.6,7.4
321.0,321.0,510.4,0.1,163.0,120297.0,188569.0,84.0,35.4,18.7,11.6
322.0,322.0,510.6,0.1,106.0,120296.0,188556.0,49.0,41.2,10.9,13.5
323.0,323.0,489.1,0.1,16.0,120297.0,188547.0,70.0,23.9,15.6,7.8
324.0,324.0,505.2,0.1,162.0,120299.0,188531.0,51.0,31.8,11.4,10.4
325.0,325.0,500.5,0.1,116.0,120282.0,188530.0,65.0,22.9,14.5,7.5
326.0,326.0,490.3,0.1,79.0,120284.0,188565.0,91.0,33.3,20.3,10.9
327.0,327.0,461.0,0.1,13.0,120299.0,188529.0,67.0,32.0,14.9,10.5
328.0,328.0,485.5,0.1,128.0,120299.0,188560.0,84.0,35.8,18.7,11.7
329.0,329.0,515.6,0.1,98.0,120282.0,188568.0,77.0,24.4,17.1,8.0
330.0,330.0,465.2,0.1,52.0,120291.0,188526.0,59.0,39.6,13.1,13.0
331.0,331.0,473.7,0.1,139.0,120286.0,188564.0,75.0,29.7,16.7,9.7
332.0,332.0,483.6,0.1,122.0,120296.0,188522.0,82.0,36.3,18.3,11.9
333.0,333.0,500.4,0.1,144.0,120301.0,188533.0,70.0,34.7,15.6,11.4
334.0,334.0,498.7,0.1,7.0,120286.0,188529.0,81.0,41.0,18.0,13.4
335.0,335.0,490.6,0.1,104.0,120293.0,188530.0,65.0,32.3,14.5,10.6
336.0,336.0,473.0,0.1,19.0,120284.0,188548.0,51.0,20.3,11.4,6.7
337.0,337.0,525.8,0.1,157.0,120283.0,188563.0,79.0,24.3,17.6,7.9
338.0,338.0,488.8,0.1,78.0,120293.0,188530.0,94.0,31.4,20.9,10.3
339.0,339.0,484.0,0.1,171.0,120292.0,188542.0,63.0,31.4,14.0,10.3
340.0,340.0,482.4,0.1,104.0,120292.0,188540.0,59.0,30.1,13.1,9.9
341.0,341.0,485.6,0.1,2.0,120283.0,188545.0,73.0,38.0,16.3,12.5
342.0,342.0,493.7,0.1,159.0,120287.0,188525.0,61.0,32.2,13.6,10.6
343.0,343.0,497.6,0.1,54.0,120294.0,188539.0,84.0,37.8,18.7,12.4
344.0,344.0,464.6,0.1,74.0,120284.0,188551.0,68.0,43.1,15.1,14.1
345.0,345.0,480.0,0.1,50.0,120297.0,188558.0,84.0,31.8,18.7,10.4
346.0,346.0,507.2,0.1,130.0,120297.0,188525.0,52.0,28.6,11.6,9.4
347.0,347.0,515.3,0.1,159.0,120298.0,188521.0,69.0,26.9,15.4,8.8
348.0,348.0,476.5,0.1,10.0,120282.0,188561.0,78.0,47.2,17.4,15.4
349.0,349.0,502.9,0.1,124.0,120281.0,188542.0,63.0,23.2,14.0,7.6
350.0,350.0,470.5,0.1,54.0,120286.0,188564.0,43.0,25.0,9.6,8.2
351.0,351.0,520.5,0.1,155.0,120300.0,188524.0,72.0,28.6,16.0,9.4
352.0,352.0,487.9,0.1,176.0,120291.0,188535.0,70.0,34.7,15.6,11.4
